Time (s),Current (A)
9.599999999999995e-11,4.431425210349204e-19
9.699999999999995e-11,4.37001610402184e-19
9.799999999999995e-11,4.309025886550732e-19
9.899999999999994e-11,4.2466952247396e-19
9.999999999999994e-11,4.1839456740722114e-19
1.0099999999999994e-10,4.121698790032331e-19
1.0199999999999993e-10,4.060876128103727e-19
1.0299999999999993e-10,4.001058799430141e-19
1.0399999999999993e-10,3.9396496931027757e-19
1.0499999999999992e-10,3.876146142494123e-19
1.0599999999999992e-10,3.8134803695979853e-19
1.0699999999999991e-10,3.751065930015602e-19
1.0799999999999991e-10,3.6885677126619673e-19
1.0899999999999991e-10,3.623388606628284e-19
1.099999999999999e-10,3.5554448341433004e-19
1.109999999999999e-10,3.4818041732132137e-19
1.119999999999999e-10,3.3985290685892016e-19
1.129999999999999e-10,3.299503742969904e-19
1.1399999999999989e-10,3.1771881969426833e-19
1.1499999999999989e-10,3.029236652912497e-19
1.1599999999999988e-10,2.865534887887025e-19
1.1699999999999988e-10,2.70828401124792e-19
1.1799999999999988e-10,2.5783446880368107e-19
1.1899999999999987e-10,2.480157140130028e-19
1.1999999999999987e-10,2.428214921954085e-19
1.2099999999999987e-10,2.3843991475895396e-19
1.2199999999999986e-10,2.340248262139988e-19
1.2299999999999986e-10,2.295846043376682e-19
1.2399999999999986e-10,2.251946491240885e-19
1.2499999999999985e-10,2.206790272536315e-19
1.2599999999999985e-10,2.1608800538904815e-19
1.2699999999999985e-10,2.1150536130158996e-19
1.2799999999999984e-10,2.069310949912569e-19
1.2899999999999984e-10,2.024573620064257e-19
1.2999999999999984e-10,1.9819307344972327e-19
1.3099999999999983e-10,1.9405445154989814e-19
1.3199999999999983e-10,1.911054740018446e-19
1.3299999999999983e-10,1.9008338519257604e-19
1.3399999999999982e-10,1.915076073038519e-19
1.3499999999999982e-10,1.9329207383150929e-19
1.3599999999999981e-10,1.9193487393723465e-19
1.369999999999998e-10,1.879051631400365e-19
1.379999999999998e-10,1.8368276346895984e-19
1.389999999999998e-10,1.7953576379200954e-19
1.399999999999998e-10,1.7544740855493532e-19
1.409999999999998e-10,1.7144283108911261e-19
1.419999999999998e-10,1.6755554250304205e-19
1.429999999999998e-10,1.638022983509739e-19
1.439999999999998e-10,1.6013283197015727e-19
1.4499999999999978e-10,1.5653038780634188e-19
1.4599999999999978e-10,1.5312063251640496e-19
1.4699999999999978e-10,1.4997896609447294e-19
1.4799999999999977e-10,1.4710538854054576e-19
1.4899999999999977e-10,1.443155887578701e-19
1.4999999999999977e-10,1.4157605563794538e-19
1.5099999999999976e-10,1.3852654476439e-19
1.5199999999999976e-10,1.35275967239831e-19
1.5299999999999976e-10,1.3213430081789895e-19
1.5399999999999975e-10,1.2910992327571905e-19
1.5499999999999975e-10,1.2631174571591824e-19
1.5599999999999975e-10,1.2404136811500202e-19
1.5699999999999974e-10,1.2279307932335436e-19
1.5799999999999974e-10,1.2262552378085132e-19
1.5899999999999974e-10,1.2200556827359006e-19
1.5999999999999973e-10,1.2015407952893145e-19
1.6099999999999973e-10,1.1779154637963856e-19
1.6199999999999972e-10,1.151944354708414e-19
1.6299999999999972e-10,1.123962579110406e-19
1.6399999999999972e-10,1.0966510256824102e-19
1.6499999999999971e-10,1.0698421388819234e-19
1.659999999999997e-10,1.0433683631664428e-19
1.669999999999997e-10,1.0175648096209743e-19
1.679999999999997e-10,9.921801449317634e-20
1.689999999999997e-10,9.675494801838162e-20
1.699999999999997e-10,9.431701487496236e-20
1.709999999999997e-10,9.18958372857934e-20
1.719999999999997e-10,8.94662819194993e-20
1.7299999999999969e-10,8.701159322182973e-20
1.7399999999999968e-10,8.457366007841047e-20
1.7499999999999968e-10,8.21357269349912e-20
1.7599999999999968e-10,7.9756438231448e-20
1.7699999999999967e-10,7.739390508215511e-20
1.7799999999999967e-10,7.510677192698859e-20
1.7899999999999967e-10,7.290341654307359e-20
1.7999999999999966e-10,7.088437225591193e-20
1.8099999999999966e-10,6.901612795700301e-20
1.8199999999999966e-10,6.719815032084501e-20
1.8299999999999965e-10,6.543043934743791e-20
1.8399999999999965e-10,6.370461725965658e-20
1.8499999999999965e-10,6.202906183462616e-20
1.8599999999999964e-10,6.03953952952215e-20
1.8699999999999964e-10,5.87868620871923e-20
1.8799999999999964e-10,5.723697331903915e-20
1.8899999999999963e-10,5.572897343651179e-20
1.8999999999999963e-10,5.427124021673531e-20
1.9099999999999962e-10,5.286377365970976e-20
1.9199999999999962e-10,5.157359598243634e-20
1.9299999999999962e-10,5.0367196076414437e-20
1.9399999999999961e-10,4.918592950176799e-20
1.949999999999996e-10,4.798790737287124e-20
1.959999999999996e-10,4.6739618581223574e-20
1.969999999999996e-10,4.547457423532561e-20
1.979999999999996e-10,4.4234663220803097e-20
1.989999999999996e-10,4.30282633147812e-20
1.999999999999996e-10,4.188888562576051e-20
2.009999999999996e-10,4.0833285707991344e-20
2.0199999999999959e-10,3.9928485778474915e-20
2.0299999999999958e-10,3.9224752499962143e-20
2.0399999999999958e-10,3.857128588420028e-20
2.0499999999999958e-10,3.771675261743476e-20
2.0599999999999957e-10,3.671979713954166e-20
2.0699999999999957e-10,3.571446388452341e-20
2.0799999999999957e-10,3.4734263960880617e-20
2.0899999999999956e-10,3.3779197368613275e-20
2.0999999999999956e-10,3.2882775216222e-20
2.1099999999999956e-10,3.200310861808103e-20
2.1199999999999955e-10,3.1223975345441886e-20
2.1299999999999955e-10,3.0595642061055474e-20
2.1399999999999955e-10,3.01013532106715e-20
2.1499999999999954e-10,2.9590308806037225e-20
2.1599999999999954e-10,2.886981997327414e-20
2.1699999999999953e-10,2.7998531152258325e-20
2.1799999999999953e-10,2.719426454824372e-20
2.1899999999999953e-10,2.6373242389978817e-20
2.1999999999999952e-10,2.558573134021452e-20
2.2099999999999952e-10,2.4881998061701742e-20
2.2199999999999952e-10,2.4169887006063814e-20
2.2299999999999951e-10,2.3491287058926495e-20
2.239999999999995e-10,2.2821064888914326e-20
2.249999999999995e-10,2.216759827315246e-20
2.259999999999995e-10,2.1530887211640902e-20
2.269999999999995e-10,2.0944442812880256e-20
2.279999999999995e-10,2.0341242859869303e-20
2.289999999999995e-10,1.977155401535896e-20
2.299999999999995e-10,1.9193487393723467e-20
2.3099999999999949e-10,1.8640554103463427e-20
2.3199999999999948e-10,1.8087620813203387e-20
2.329999999999995e-10,1.7526309745818197e-20
2.339999999999995e-10,1.6990132009808463e-20
2.349999999999995e-10,1.6504220936549642e-20
2.359999999999995e-10,1.602668764041597e-20
2.369999999999995e-10,1.5565909898532607e-20
2.379999999999995e-10,1.5147021042275e-20
2.389999999999995e-10,1.4728132186017394e-20
2.399999999999995e-10,1.430924332975979e-20
2.409999999999995e-10,1.391548780487764e-20
2.419999999999995e-10,1.3530110057120645e-20
2.4299999999999947e-10,1.3161487863613952e-20
2.4399999999999947e-10,1.2801243447232412e-20
2.4499999999999946e-10,1.243262125372572e-20
2.4599999999999946e-10,1.2131021277220243e-20
2.4699999999999946e-10,1.1804287969339312e-20
2.4799999999999945e-10,1.1477554661458379e-20
2.4899999999999945e-10,1.120108801632836e-20
2.4999999999999945e-10,1.0907865816948036e-20
2.5099999999999944e-10,1.0631399171818018e-20
2.5199999999999944e-10,1.0371688080938302e-20
2.5299999999999944e-10,1.0095221435808282e-20
2.5399999999999943e-10,9.852265899178872e-21
2.5499999999999943e-10,9.626065916799765e-21
2.5599999999999943e-10,9.433377042921267e-21
2.569999999999994e-10,9.223932614792464e-21
2.579999999999994e-10,9.064754849414575e-21
2.589999999999994e-10,8.905577084036685e-21
2.599999999999994e-10,8.738021541533642e-21
2.609999999999994e-10,8.578843776155752e-21
2.619999999999994e-10,8.461554896403624e-21
2.629999999999994e-10,8.444799342153319e-21
2.639999999999994e-10,8.520199336279688e-21
2.649999999999994e-10,8.880443752661229e-21
