Time (s),Current (A)
0.0002469999999999995,2.1956777092351482e-09
0.0002479999999999995,2.195677709235148e-09
0.00024899999999999955,2.1956777092351482e-09
0.00024999999999999957,2.195677709235148e-09
0.0002509999999999996,2.195677709235148e-09
0.0002519999999999996,2.1956777092351482e-09
0.00025299999999999964,2.195677709235149e-09
0.00025399999999999967,2.195677709235148e-09
0.0002549999999999997,2.1956777092351482e-09
0.0002559999999999997,2.195677709235148e-09
0.00025699999999999974,2.185024579926881e-09
0.00025799999999999977,2.195677709235149e-09
0.0002589999999999998,2.195677709235149e-09
0.0002599999999999998,2.195677709235149e-09
0.00026099999999999984,2.195677709235149e-09
0.00026199999999999986,2.1956777092351495e-09
0.0002629999999999999,2.1956777092351495e-09
0.0002639999999999999,2.19567770923515e-09
0.00026499999999999994,2.1956777092351495e-09
0.00026599999999999996,2.195677709235149e-09
0.000267,2.1956777092351495e-09
0.000268,2.1956777092351495e-09
0.00026900000000000003,2.1956777092351495e-09
0.00027000000000000006,2.1958953977435977e-09
0.0002710000000000001,2.1958953977435977e-09
0.0002720000000000001,2.1958953977435985e-09
0.00027300000000000013,2.1958953977435985e-09
0.00027400000000000015,2.1958953977435977e-09
0.0002750000000000002,2.1958953977435985e-09
0.0002760000000000002,2.1958953977435985e-09
0.00027700000000000023,2.1958953977435994e-09
0.00027800000000000025,2.1958953977435985e-09
0.0002790000000000003,2.1958953977435985e-09
0.0002800000000000003,2.1958953977435977e-09
0.0002810000000000003,2.1958953977435985e-09
0.00028200000000000035,2.1958953977435977e-09
0.0002830000000000004,2.1958953977435977e-09
0.0002840000000000004,2.1958953977435965e-09
0.0002850000000000004,2.1958953977435965e-09
0.00028600000000000045,2.195895397743597e-09
0.00028700000000000047,2.1958953977435965e-09
0.0002880000000000005,2.1958953977435977e-09
0.0002890000000000005,2.1958953977435994e-09
0.00029000000000000054,2.195895397743597e-09
0.00029100000000000057,2.195895397743597e-09
0.0002920000000000006,2.195895397743597e-09
0.0002930000000000006,2.1958953977435952e-09
0.00029400000000000064,2.195895397743597e-09
0.00029500000000000067,2.1958953977435965e-09
0.0002960000000000007,2.195895397743595e-09
0.0002970000000000007,2.1958953977435952e-09
0.00029800000000000074,2.1958953977435965e-09
0.00029900000000000076,2.1958953977435985e-09
0.0003000000000000008,2.1958953977435965e-09
0.0003010000000000008,2.1958953977435973e-09
0.00030200000000000084,2.1958953977435944e-09
0.00030300000000000086,2.1958953977435985e-09
0.0003040000000000009,2.195895397743597e-09
0.0003050000000000009,2.195895397743597e-09
0.00030600000000000093,2.195895397743597e-09
0.00030700000000000096,2.195895397743597e-09
0.000308000000000001,2.195895397743597e-09
0.000309000000000001,2.195895397743597e-09
0.00031000000000000103,2.195895397743597e-09
0.00031100000000000105,2.195895397743597e-09
0.0003120000000000011,2.195895397743597e-09
0.0003130000000000011,2.1958953977435965e-09
0.00031400000000000113,2.195895397743597e-09
0.00031500000000000115,2.195895397743597e-09
0.0003160000000000012,2.195895397743597e-09
0.0003170000000000012,2.1958953977435973e-09
0.0003180000000000012,2.1958953977435973e-09
0.00031900000000000125,2.195895397743597e-09
0.0003200000000000013,2.1958953977435973e-09
0.0003210000000000013,2.1958953977435965e-09
0.0003220000000000013,2.1958953977435965e-09
0.00032300000000000135,2.195895397743597e-09
0.00032400000000000137,2.195895397743597e-09
0.0003250000000000014,2.195895397743597e-09
0.0003260000000000014,2.195895397743597e-09
0.00032700000000000144,2.1958953977435965e-09
0.00032800000000000147,2.195895397743597e-09
0.0003290000000000015,2.195895397743597e-09
0.0003300000000000015,2.1958953977435973e-09
0.00033100000000000154,2.1958953977435965e-09
0.00033200000000000156,2.195895397743597e-09
0.0003330000000000016,2.195895397743597e-09
0.0003340000000000016,2.195895397743597e-09
0.00033500000000000164,2.1958953977435965e-09
0.00033600000000000166,2.195895397743597e-09
0.0003370000000000017,2.195895397743597e-09
0.0003380000000000017,2.1958953977435965e-09
0.00033900000000000173,2.195895397743597e-09
0.00034000000000000176,2.195895397743597e-09
0.0003410000000000018,2.1958953977435965e-09
0.0003420000000000018,2.39157930151381e-09
0.00034300000000000183,2.195895397743597e-09
0.00034400000000000186,2.195895397743597e-09
0.0003450000000000019,2.1958953977435973e-09
0.0003460000000000019,2.1958953977435973e-09
0.00034700000000000193,2.195895397743597e-09
0.00034800000000000195,2.1958953977435977e-09
0.000349000000000002,2.1958953977435965e-09
0.000350000000000002,2.195895397743597e-09
0.000351000000000002,2.195895397743597e-09
0.00035200000000000205,2.1958953977435973e-09
0.0003530000000000021,2.1958953977435965e-09
0.0003540000000000021,2.195895397743597e-09
0.0003550000000000021,2.1958953977435965e-09
0.00035600000000000215,2.195895397743597e-09
0.00035700000000000217,2.1958953977435965e-09
0.0003580000000000022,2.195895397743597e-09
0.0003590000000000022,2.195895397743597e-09
0.00036000000000000225,2.1958953977435965e-09
0.00036100000000000227,2.1958953977435973e-09
0.0003620000000000023,2.1958953977435965e-09
0.0003630000000000023,2.195895397743597e-09
0.00036400000000000234,2.195895397743597e-09
0.00036500000000000237,2.195895397743597e-09
0.0003660000000000024,2.195895397743597e-09
0.0003670000000000024,2.195895397743597e-09
0.00036800000000000244,2.1958953977435973e-09
0.00036900000000000246,2.195895397743597e-09
0.0003700000000000025,2.1958953977435973e-09
0.0003710000000000025,2.1958953977435965e-09
0.00037200000000000254,2.1592594924395916e-09
0.00037300000000000256,2.195895397743597e-09
0.0003740000000000026,2.195895397743597e-09
0.0003750000000000026,2.195895397743597e-09
0.00037600000000000263,2.3524790932336583e-09
0.00037700000000000266,2.1958953977435965e-09
0.0003780000000000027,2.3524790932336595e-09
0.0003790000000000027,2.3524790932336604e-09
0.00038000000000000273,2.3524790932336595e-09
0.00038100000000000276,2.3524790932336583e-09
0.0003820000000000028,2.3524790932336583e-09
0.0003830000000000028,2.3524790932336583e-09
0.00038400000000000283,2.3524790932336595e-09
0.00038500000000000285,2.3524790932336583e-09
0.0003860000000000029,2.3524790932336604e-09
0.0003870000000000029,2.3524790932336595e-09
0.0003880000000000029,2.3524790932336583e-09
0.00038900000000000295,2.3524790932336583e-09
0.000390000000000003,2.3524790932336595e-09
0.000391000000000003,2.3524790932336604e-09
0.000392000000000003,2.354966164115261e-09
0.00039300000000000305,2.35496616411526e-09
0.00039400000000000307,2.354966164115259e-09
0.0003950000000000031,2.354966164115259e-09
0.0003960000000000031,2.354966164115261e-09
0.00039700000000000314,2.354966164115259e-09
